date,year,month,n34_anom,oni_center,mei,n34_lag1,n34_lag2,n34_lag3,n34_lag6,n34_lag12,n34_roll3,n34_roll5,n34_trend1,n34_trend3,month_sin,month_cos,mei_lag1,mei_lag3,state_now,target_n34_anom_t3,target_oni_t3,target_state,persist_pred_state,has_core_features,mei_available,has_target,split
1951-06,1951,6,0.0,0.58,,-0.01,-0.23,-0.38,-1.31,-1.27,-0.08,-0.332,0.01,0.38,0.0,-1.0,,,Neutral,0.51,0.99,El Nino,Neutral,True,False,True,train
1951-07,1951,7,0.3,0.7,,0.0,-0.01,-0.23,-1.3,-1.01,0.0967,-0.064,0.3,0.53,-0.5,-0.866,,,Neutral,0.49,1.15,El Nino,Neutral,True,False,True,train
1951-08,1951,8,0.17,0.89,,0.3,0.0,-0.01,-1.04,-0.97,0.1567,0.046,-0.13,0.18,-0.866,-0.5,,,Neutral,0.55,1.04,El Nino,Neutral,True,False,True,train
1951-09,1951,9,0.51,0.99,,0.17,0.3,0.0,-0.38,-0.98,0.3267,0.194,0.34,0.51,-1.0,-0.0,,,Neutral,0.31,0.81,El Nino,Neutral,True,False,True,train
1951-10,1951,10,0.49,1.15,,0.51,0.17,0.3,-0.23,-1.03,0.39,0.294,-0.02,0.19,-0.866,0.5,,,Neutral,0.13,0.53,El Nino,Neutral,True,False,True,train
1951-11,1951,11,0.55,1.04,,0.49,0.51,0.17,-0.01,-1.23,0.5167,0.404,0.06,0.38,-0.5,0.866,,,El Nino,-0.01,0.37,Neutral,El Nino,True,False,True,train
1951-12,1951,12,0.31,0.81,,0.55,0.49,0.51,0.0,-1.31,0.45,0.406,-0.24,-0.2,-0.0,1.0,,,Neutral,-0.11,0.34,Neutral,Neutral,True,False,True,train
1952-01,1952,1,0.13,0.53,,0.31,0.55,0.49,0.3,-1.3,0.33,0.398,-0.18,-0.36,0.5,0.866,,,Neutral,-0.02,0.29,Neutral,Neutral,True,False,True,train
1952-02,1952,2,-0.01,0.37,,0.13,0.31,0.55,0.17,-1.04,0.1433,0.294,-0.14,-0.56,0.866,0.5,,,Neutral,-0.14,0.2,Neutral,Neutral,True,False,True,train
1952-03,1952,3,-0.11,0.34,,-0.01,0.13,0.31,0.51,-0.38,0.0033,0.174,-0.1,-0.42,1.0,0.0,,,Neutral,-0.54,0.0,Neutral,Neutral,True,False,True,train
1952-04,1952,4,-0.02,0.29,,-0.11,-0.01,0.13,0.49,-0.23,-0.0467,0.06,0.09,-0.15,0.866,-0.5,,,Neutral,-0.76,-0.08,Neutral,Neutral,True,False,True,train
1952-05,1952,5,-0.14,0.2,,-0.02,-0.11,-0.01,0.55,-0.01,-0.09,-0.03,-0.12,-0.13,0.5,-0.866,,,Neutral,-0.56,0.0,Neutral,Neutral,True,False,True,train
1952-06,1952,6,-0.54,0.0,,-0.14,-0.02,-0.11,0.31,0.0,-0.2333,-0.164,-0.4,-0.43,0.0,-1.0,,,Neutral,-0.36,0.15,Neutral,Neutral,True,False,True,train
1952-07,1952,7,-0.76,-0.08,,-0.54,-0.14,-0.02,0.13,0.3,-0.48,-0.314,-0.22,-0.74,-0.5,-0.866,,,Neutral,-0.46,0.1,Neutral,Neutral,True,False,True,train
1952-08,1952,8,-0.56,0.0,,-0.76,-0.54,-0.14,-0.01,0.17,-0.62,-0.404,0.2,-0.42,-0.866,-0.5,,,La Nina,-0.78,0.04,Neutral,La Nina,True,False,True,train
1952-09,1952,9,-0.36,0.15,,-0.56,-0.76,-0.54,-0.11,0.51,-0.56,-0.472,0.2,0.18,-1.0,-0.0,,,La Nina,-0.39,0.15,Neutral,La Nina,True,False,True,train
1952-10,1952,10,-0.46,0.1,,-0.36,-0.56,-0.76,-0.02,0.49,-0.46,-0.536,-0.1,0.3,-0.866,0.5,,,Neutral,0.2,0.4,Neutral,Neutral,True,False,True,train
1952-11,1952,11,-0.78,0.04,,-0.46,-0.36,-0.56,-0.14,0.55,-0.5333,-0.584,-0.32,-0.22,-0.5,0.866,,,La Nina,0.24,0.6,El Nino,La Nina,True,False,True,train
1952-12,1952,12,-0.39,0.15,,-0.78,-0.46,-0.36,-0.54,0.31,-0.5433,-0.51,0.39,-0.03,-0.0,1.0,,,La Nina,0.29,0.63,El Nino,La Nina,True,False,True,train
1953-01,1953,1,0.2,0.4,,-0.39,-0.78,-0.46,-0.76,0.13,-0.3233,-0.358,0.59,0.66,0.5,0.866,,,Neutral,0.22,0.66,El Nino,Neutral,True,False,True,train
1953-02,1953,2,0.24,0.6,,0.2,-0.39,-0.78,-0.56,-0.01,0.0167,-0.238,0.04,1.02,0.866,0.5,,,Neutral,0.35,0.75,El Nino,Neutral,True,False,True,train
1953-03,1953,3,0.29,0.63,,0.24,0.2,-0.39,-0.36,-0.11,0.2433,-0.088,0.05,0.68,1.0,0.0,,,Neutral,0.39,0.77,El Nino,Neutral,True,False,True,train
1953-04,1953,4,0.22,0.66,,0.29,0.24,0.2,-0.46,-0.02,0.25,0.112,-0.07,0.02,0.866,-0.5,,,Neutral,0.14,0.75,El Nino,Neutral,True,False,True,train
1953-05,1953,5,0.35,0.75,,0.22,0.29,0.24,-0.78,-0.14,0.2867,0.26,0.13,0.11,0.5,-0.866,,,Neutral,0.09,0.73,El Nino,Neutral,True,False,True,train
1953-06,1953,6,0.39,0.77,,0.35,0.22,0.29,-0.39,-0.54,0.32,0.298,0.04,0.1,0.0,-1.0,,,Neutral,0.29,0.78,El Nino,Neutral,True,False,True,train
1953-07,1953,7,0.14,0.75,,0.39,0.35,0.22,0.2,-0.76,0.2933,0.278,-0.25,-0.08,-0.5,-0.866,,,Neutral,0.16,0.84,El Nino,Neutral,True,False,True,train
1953-08,1953,8,0.09,0.73,,0.14,0.39,0.35,0.24,-0.56,0.2067,0.238,-0.05,-0.26,-0.866,-0.5,,,Neutral,0.18,0.84,El Nino,Neutral,True,False,True,train
1953-09,1953,9,0.29,0.78,,0.09,0.14,0.39,0.29,-0.36,0.1733,0.252,0.2,-0.1,-1.0,-0.0,,,Neutral,0.41,0.81,El Nino,Neutral,True,False,True,train
1953-10,1953,10,0.16,0.84,,0.29,0.09,0.14,0.22,-0.46,0.18,0.214,-0.13,0.02,-0.866,0.5,,,Neutral,0.43,0.76,El Nino,Neutral,True,False,True,train
1953-11,1953,11,0.18,0.84,,0.16,0.29,0.09,0.35,-0.78,0.21,0.172,0.02,0.09,-0.5,0.866,,,Neutral,0.28,0.47,Neutral,Neutral,True,False,True,train
1953-12,1953,12,0.41,0.81,,0.18,0.16,0.29,0.39,-0.39,0.25,0.226,0.23,0.12,-0.0,1.0,,,Neutral,-0.38,-0.05,Neutral,Neutral,True,False,True,train
1954-01,1954,1,0.43,0.76,,0.41,0.18,0.16,0.14,0.2,0.34,0.294,0.02,0.27,0.5,0.866,,,Neutral,-1.17,-0.41,Neutral,Neutral,True,False,True,train
1954-02,1954,2,0.28,0.47,,0.43,0.41,0.18,0.09,0.24,0.3733,0.292,-0.15,0.1,0.866,0.5,,,Neutral,-0.81,-0.54,La Nina,Neutral,True,False,True,train
1954-03,1954,3,-0.38,-0.05,,0.28,0.43,0.41,0.29,0.29,0.11,0.184,-0.66,-0.79,1.0,0.0,,,Neutral,-0.93,-0.5,La Nina,Neutral,True,False,True,train
1954-04,1954,4,-1.17,-0.41,,-0.38,0.28,0.43,0.16,0.22,-0.4233,-0.086,-0.79,-1.6,0.866,-0.5,,,Neutral,-1.18,-0.64,La Nina,Neutral,True,False,True,train
1954-05,1954,5,-0.81,-0.54,,-1.17,-0.38,0.28,0.18,0.35,-0.7867,-0.33,0.36,-1.09,0.5,-0.866,,,La Nina,-1.43,-0.84,La Nina,La Nina,True,False,True,train
1954-06,1954,6,-0.93,-0.5,,-0.81,-1.17,-0.38,0.41,0.39,-0.97,-0.602,-0.12,-0.55,0.0,-1.0,,,La Nina,-1.6,-0.9,La Nina,La Nina,True,False,True,train
1954-07,1954,7,-1.18,-0.64,,-0.93,-0.81,-1.17,0.43,0.14,-0.9733,-0.894,-0.25,-0.01,-0.5,-0.866,,,La Nina,-1.48,-0.77,La Nina,La Nina,True,False,True,train
1954-08,1954,8,-1.43,-0.84,,-1.18,-0.93,-0.81,0.28,0.09,-1.18,-1.104,-0.25,-0.62,-0.866,-0.5,,,La Nina,-1.13,-0.73,La Nina,La Nina,True,False,True,train
1954-09,1954,9,-1.6,-0.9,,-1.43,-1.18,-0.93,-0.38,0.29,-1.4033,-1.19,-0.17,-0.67,-1.0,-0.0,,,La Nina,-1.33,-0.66,La Nina,La Nina,True,False,True,train
1954-10,1954,10,-1.48,-0.77,,-1.6,-1.43,-1.18,-1.17,0.16,-1.5033,-1.324,0.12,-0.3,-0.866,0.5,,,La Nina,-0.93,-0.68,La Nina,La Nina,True,False,True,train
1954-11,1954,11,-1.13,-0.73,,-1.48,-1.6,-1.43,-0.81,0.18,-1.4033,-1.364,0.35,0.3,-0.5,0.866,,,La Nina,-0.95,-0.62,La Nina,La Nina,True,False,True,train
1954-12,1954,12,-1.33,-0.66,,-1.13,-1.48,-1.6,-0.93,0.41,-1.3133,-1.394,-0.2,0.27,-0.0,1.0,,,La Nina,-1.06,-0.69,La Nina,La Nina,True,False,True,train
1955-01,1955,1,-0.93,-0.68,,-1.33,-1.13,-1.48,-1.18,0.43,-1.13,-1.294,0.4,0.55,0.5,0.866,,,La Nina,-1.22,-0.8,La Nina,La Nina,True,False,True,train
1955-02,1955,2,-0.95,-0.62,,-0.93,-1.33,-1.13,-1.43,0.28,-1.07,-1.164,-0.02,0.18,0.866,0.5,,,La Nina,-1.28,-0.79,La Nina,La Nina,True,False,True,train
1955-03,1955,3,-1.06,-0.69,,-0.95,-0.93,-1.33,-1.6,-0.38,-0.98,-1.08,-0.11,0.27,1.0,0.0,,,La Nina,-1.18,-0.72,La Nina,La Nina,True,False,True,train
1955-04,1955,4,-1.22,-0.8,,-1.06,-0.95,-0.93,-1.48,-1.17,-1.0767,-1.098,-0.16,-0.29,0.866,-0.5,,,La Nina,-1.15,-0.68,La Nina,La Nina,True,False,True,train
1955-05,1955,5,-1.28,-0.79,,-1.22,-1.06,-0.95,-1.13,-0.81,-1.1867,-1.088,-0.06,-0.33,0.5,-0.866,,,La Nina,-1.35,-0.75,La Nina,La Nina,True,False,True,train
1955-06,1955,6,-1.18,-0.72,,-1.28,-1.22,-1.06,-1.33,-0.93,-1.2267,-1.138,0.1,-0.12,0.0,-1.0,,,La Nina,-1.43,-1.09,La Nina,La Nina,True,False,True,train
1955-07,1955,7,-1.15,-0.68,,-1.18,-1.28,-1.22,-0.93,-1.18,-1.2033,-1.178,0.03,0.07,-0.5,-0.866,,,La Nina,-2.31,-1.42,La Nina,La Nina,True,False,True,train
1955-08,1955,8,-1.35,-0.75,,-1.15,-1.18,-1.28,-0.95,-1.43,-1.2267,-1.236,-0.2,-0.07,-0.866,-0.5,,,La Nina,-2.45,-1.67,La Nina,La Nina,True,False,True,train
1955-09,1955,9,-1.43,-1.09,,-1.35,-1.15,-1.18,-1.06,-1.6,-1.31,-1.278,-0.08,-0.25,-1.0,-0.0,,,La Nina,-2.03,-1.47,La Nina,La Nina,True,False,True,train
1955-10,1955,10,-2.31,-1.42,,-1.43,-1.35,-1.15,-1.22,-1.48,-1.6967,-1.484,-0.88,-1.16,-0.866,0.5,,,La Nina,-1.2,-1.11,La Nina,La Nina,True,False,True,train
1955-11,1955,11,-2.45,-1.67,,-2.31,-1.43,-1.35,-1.28,-1.13,-2.0633,-1.738,-0.14,-1.1,-0.5,0.866,,,La Nina,-0.99,-0.76,La Nina,La Nina,True,False,True,train
1955-12,1955,12,-2.03,-1.47,,-2.45,-2.31,-1.43,-1.18,-1.33,-2.2633,-1.914,0.42,-0.6,-0.0,1.0,,,La Nina,-0.83,-0.63,La Nina,La Nina,True,False,True,train
1956-01,1956,1,-1.2,-1.11,,-2.03,-2.45,-2.31,-1.15,-0.93,-1.8933,-1.884,0.83,1.11,0.5,0.866,,,La Nina,-0.97,-0.54,La Nina,La Nina,True,False,True,train
1956-02,1956,2,-0.99,-0.76,,-1.2,-2.03,-2.45,-1.35,-0.95,-1.4067,-1.796,0.21,1.46,0.866,0.5,,,La Nina,-0.8,-0.52,La Nina,La Nina,True,False,True,train
1956-03,1956,3,-0.83,-0.63,,-0.99,-1.2,-2.03,-1.43,-1.06,-1.0067,-1.5,0.16,1.2,1.0,0.0,,,La Nina,-0.92,-0.51,La Nina,La Nina,True,False,True,train
1956-04,1956,4,-0.97,-0.54,,-0.83,-0.99,-1.2,-2.31,-1.22,-0.93,-1.204,-0.14,0.23,0.866,-0.5,,,La Nina,-1.06,-0.57,La Nina,La Nina,True,False,True,train
1956-05,1956,5,-0.8,-0.52,,-0.97,-0.83,-0.99,-2.45,-1.28,-0.8667,-0.958,0.17,0.19,0.5,-0.866,,,La Nina,-1.17,-0.55,La Nina,La Nina,True,False,True,train
1956-06,1956,6,-0.92,-0.51,,-0.8,-0.97,-0.83,-2.03,-1.18,-0.8967,-0.902,-0.12,-0.09,0.0,-1.0,,,La Nina,-0.98,-0.46,Neutral,La Nina,True,False,True,train
1956-07,1956,7,-1.06,-0.57,,-0.92,-0.8,-0.97,-1.2,-1.15,-0.9267,-0.916,-0.14,-0.09,-0.5,-0.866,,,La Nina,-0.97,-0.42,Neutral,La Nina,True,False,True,train
1956-08,1956,8,-1.17,-0.55,,-1.06,-0.92,-0.8,-0.99,-1.35,-1.05,-0.984,-0.11,-0.37,-0.866,-0.5,,,La Nina,-1.14,-0.43,Neutral,La Nina,True,False,True,train
1956-09,1956,9,-0.98,-0.46,,-1.17,-1.06,-0.92,-0.83,-1.43,-1.07,-0.986,0.19,-0.06,-1.0,-0.0,,,La Nina,-0.89,-0.43,Neutral,La Nina,True,False,True,train
1956-10,1956,10,-0.97,-0.42,,-0.98,-1.17,-1.06,-0.97,-2.31,-1.04,-1.02,0.01,0.09,-0.866,0.5,,,La Nina,-0.51,-0.25,Neutral,La Nina,True,False,True,train
1956-11,1956,11,-1.14,-0.43,,-0.97,-0.98,-1.17,-0.8,-2.45,-1.03,-1.064,-0.17,0.03,-0.5,0.866,,,La Nina,-0.22,0.06,Neutral,La Nina,True,False,True,train
1956-12,1956,12,-0.89,-0.43,,-1.14,-0.97,-0.98,-0.92,-2.03,-1.0,-1.03,0.25,0.09,-0.0,1.0,,,La Nina,0.18,0.41,Neutral,La Nina,True,False,True,train
1957-01,1957,1,-0.51,-0.25,,-0.89,-1.14,-0.97,-1.06,-1.2,-0.8467,-0.898,0.38,0.46,0.5,0.866,,,La Nina,0.41,0.72,El Nino,La Nina,True,False,True,train
1957-02,1957,2,-0.22,0.06,,-0.51,-0.89,-1.14,-1.17,-0.99,-0.54,-0.746,0.29,0.92,0.866,0.5,,,La Nina,0.62,0.92,El Nino,La Nina,True,False,True,train
1957-03,1957,3,0.18,0.41,,-0.22,-0.51,-0.89,-0.98,-0.83,-0.1833,-0.516,0.4,1.07,1.0,0.0,,,Neutral,0.63,1.11,El Nino,Neutral,True,False,True,train
1957-04,1957,4,0.41,0.72,,0.18,-0.22,-0.51,-0.97,-0.97,0.1233,-0.206,0.23,0.92,0.866,-0.5,,,Neutral,0.87,1.25,El Nino,Neutral,True,False,True,train
1957-05,1957,5,0.62,0.92,,0.41,0.18,-0.22,-1.14,-0.8,0.4033,0.096,0.21,0.84,0.5,-0.866,,,Neutral,0.84,1.32,El Nino,Neutral,True,False,True,train
1957-06,1957,6,0.63,1.11,,0.62,0.41,0.18,-0.89,-0.92,0.5533,0.324,0.01,0.45,0.0,-1.0,,,El Nino,0.72,1.33,El Nino,El Nino,True,False,True,train
1957-07,1957,7,0.87,1.25,,0.63,0.62,0.41,-0.51,-1.06,0.7067,0.542,0.24,0.46,-0.5,-0.866,,,El Nino,0.7,1.39,El Nino,El Nino,True,False,True,train
1957-08,1957,8,0.84,1.32,,0.87,0.63,0.62,-0.22,-1.17,0.78,0.674,-0.03,0.22,-0.866,-0.5,,,El Nino,0.92,1.53,El Nino,El Nino,True,False,True,train
1957-09,1957,9,0.72,1.33,,0.84,0.87,0.63,0.18,-0.98,0.81,0.736,-0.12,0.09,-1.0,-0.0,,,El Nino,1.3,1.74,El Nino,El Nino,True,False,True,train
1957-10,1957,10,0.7,1.39,,0.72,0.84,0.87,0.41,-0.97,0.7533,0.752,-0.02,-0.17,-0.866,0.5,,,El Nino,1.78,1.81,El Nino,El Nino,True,False,True,train
1957-11,1957,11,0.92,1.53,,0.7,0.72,0.84,0.62,-1.14,0.78,0.81,0.22,0.08,-0.5,0.866,,,El Nino,1.49,1.66,El Nino,El Nino,True,False,True,train
1957-12,1957,12,1.3,1.74,,0.92,0.7,0.72,0.63,-0.89,0.9733,0.896,0.38,0.58,-0.0,1.0,,,El Nino,0.98,1.27,El Nino,El Nino,True,False,True,train
1958-01,1958,1,1.78,1.81,,1.3,0.92,0.7,0.87,-0.51,1.3333,1.084,0.48,1.08,0.5,0.866,,,El Nino,0.46,0.93,El Nino,El Nino,True,False,True,train
1958-02,1958,2,1.49,1.66,,1.78,1.3,0.92,0.84,-0.22,1.5233,1.238,-0.29,0.57,0.866,0.5,,,El Nino,0.38,0.74,El Nino,El Nino,True,False,True,train
1958-03,1958,3,0.98,1.27,,1.49,1.78,1.3,0.72,0.18,1.4167,1.294,-0.51,-0.32,1.0,0.0,,,El Nino,0.26,0.64,El Nino,El Nino,True,False,True,train
1958-04,1958,4,0.46,0.93,,0.98,1.49,1.78,0.7,0.41,0.9767,1.202,-0.52,-1.32,0.866,-0.5,,,El Nino,0.03,0.57,El Nino,El Nino,True,False,True,train
1958-05,1958,5,0.38,0.74,,0.46,0.98,1.49,0.92,0.62,0.6067,1.018,-0.08,-1.11,0.5,-0.866,,,El Nino,-0.01,0.43,Neutral,El Nino,True,False,True,train
1958-06,1958,6,0.26,0.64,,0.38,0.46,0.98,1.3,0.63,0.3667,0.714,-0.12,-0.72,0.0,-1.0,,,Neutral,-0.32,0.39,Neutral,Neutral,True,False,True,train
1958-07,1958,7,0.03,0.57,,0.26,0.38,0.46,1.78,0.87,0.2233,0.422,-0.23,-0.43,-0.5,-0.866,,,Neutral,-0.27,0.44,Neutral,Neutral,True,False,True,train
1958-08,1958,8,-0.01,0.43,,0.03,0.26,0.38,1.49,0.84,0.0933,0.224,-0.04,-0.39,-0.866,-0.5,,,Neutral,0.05,0.5,El Nino,Neutral,True,False,True,train
1958-09,1958,9,-0.32,0.39,,-0.01,0.03,0.26,0.98,0.72,-0.1,0.068,-0.31,-0.58,-1.0,-0.0,,,Neutral,0.02,0.61,El Nino,Neutral,True,False,True,train
1958-10,1958,10,-0.27,0.44,,-0.32,-0.01,0.03,0.46,0.7,-0.2,-0.062,0.05,-0.3,-0.866,0.5,,,Neutral,0.53,0.61,El Nino,Neutral,True,False,True,train
1958-11,1958,11,0.05,0.5,,-0.27,-0.32,-0.01,0.38,0.92,-0.18,-0.104,0.32,0.06,-0.5,0.866,,,Neutral,0.43,0.62,El Nino,Neutral,True,False,True,train
1958-12,1958,12,0.02,0.61,,0.05,-0.27,-0.32,0.26,1.3,-0.0667,-0.106,-0.03,0.34,-0.0,1.0,,,Neutral,0.19,0.52,El Nino,Neutral,True,False,True,train
1959-01,1959,1,0.53,0.61,,0.02,0.05,-0.27,0.03,1.78,0.2,0.002,0.51,0.8,0.5,0.866,,,Neutral,0.06,0.33,Neutral,Neutral,True,False,True,train
1959-02,1959,2,0.43,0.62,,0.53,0.02,0.05,-0.01,1.49,0.3267,0.152,-0.1,0.38,0.866,0.5,,,Neutral,-0.23,0.2,Neutral,Neutral,True,False,True,train
1959-03,1959,3,0.19,0.52,,0.43,0.53,0.02,-0.32,0.98,0.3833,0.244,-0.24,0.17,1.0,0.0,,,Neutral,-0.35,-0.07,Neutral,Neutral,True,False,True,train
1959-04,1959,4,0.06,0.33,,0.19,0.43,0.53,-0.27,0.46,0.2267,0.246,-0.13,-0.47,0.866,-0.5,,,Neutral,-0.86,-0.18,Neutral,Neutral,True,False,True,train
1959-05,1959,5,-0.23,0.2,,0.06,0.19,0.43,0.05,0.38,0.0067,0.196,-0.29,-0.66,0.5,-0.866,,,Neutral,-0.77,-0.28,Neutral,Neutral,True,False,True,train
1959-06,1959,6,-0.35,-0.07,,-0.23,0.06,0.19,0.02,0.26,-0.1733,0.02,-0.12,-0.54,0.0,-1.0,,,Neutral,-0.8,-0.09,Neutral,Neutral,True,False,True,train
1959-07,1959,7,-0.86,-0.18,,-0.35,-0.23,0.06,0.53,0.03,-0.48,-0.238,-0.51,-0.92,-0.5,-0.866,,,Neutral,-0.48,-0.03,Neutral,Neutral,True,False,True,train
1959-08,1959,8,-0.77,-0.28,,-0.86,-0.35,-0.23,0.43,-0.01,-0.66,-0.43,0.09,-0.54,-0.866,-0.5,,,La Nina,-0.66,0.05,Neutral,La Nina,True,False,True,train
1959-09,1959,9,-0.8,-0.09,,-0.77,-0.86,-0.35,0.19,-0.32,-0.81,-0.602,-0.03,-0.45,-1.0,-0.0,,,La Nina,-0.42,-0.04,Neutral,La Nina,True,False,True,train
1959-10,1959,10,-0.48,-0.03,,-0.8,-0.77,-0.86,0.06,-0.27,-0.6833,-0.652,0.32,0.38,-0.866,0.5,,,La Nina,-0.28,-0.1,Neutral,La Nina,True,False,True,train
1959-11,1959,11,-0.66,0.05,,-0.48,-0.8,-0.77,-0.23,0.05,-0.6467,-0.714,-0.18,0.11,-0.5,0.866,,,La Nina,-0.46,-0.1,Neutral,La Nina,True,False,True,train
1959-12,1959,12,-0.42,-0.04,,-0.66,-0.48,-0.8,-0.35,0.02,-0.52,-0.626,0.24,0.38,-0.0,1.0,,,La Nina,-0.3,-0.07,Neutral,La Nina,True,False,True,train
1960-01,1960,1,-0.28,-0.1,,-0.42,-0.66,-0.48,-0.86,0.53,-0.4533,-0.528,0.14,0.2,0.5,0.866,,,Neutral,-0.33,0.03,Neutral,Neutral,True,False,True,train
1960-02,1960,2,-0.46,-0.1,,-0.28,-0.42,-0.66,-0.77,0.43,-0.3867,-0.46,-0.18,0.2,0.866,0.5,,,Neutral,-0.25,0.02,Neutral,Neutral,True,False,True,train
1960-03,1960,3,-0.3,-0.07,,-0.46,-0.28,-0.42,-0.8,0.19,-0.3467,-0.424,0.16,0.12,1.0,0.0,,,Neutral,-0.49,0.03,Neutral,Neutral,True,False,True,train
1960-04,1960,4,-0.33,0.03,,-0.3,-0.46,-0.28,-0.48,0.06,-0.3633,-0.358,-0.03,-0.05,0.866,-0.5,,,Neutral,-0.41,0.13,Neutral,Neutral,True,False,True,train
1960-05,1960,5,-0.25,0.02,,-0.33,-0.3,-0.46,-0.66,-0.23,-0.2933,-0.324,0.08,0.21,0.5,-0.866,,,Neutral,-0.15,0.24,Neutral,Neutral,True,False,True,train
1960-06,1960,6,-0.49,0.03,,-0.25,-0.33,-0.3,-0.42,-0.35,-0.3567,-0.366,-0.24,-0.19,0.0,-1.0,,,Neutral,-0.28,0.27,Neutral,Neutral,True,False,True,train
1960-07,1960,7,-0.41,0.13,,-0.49,-0.25,-0.33,-0.28,-0.86,-0.3833,-0.356,0.08,-0.08,-0.5,-0.866,,,Neutral,-0.49,0.2,Neutral,Neutral,True,False,True,train
1960-08,1960,8,-0.15,0.24,,-0.41,-0.49,-0.25,-0.46,-0.77,-0.35,-0.326,0.26,0.1,-0.866,-0.5,,,Neutral,-0.45,0.12,Neutral,Neutral,True,False,True,train
1960-09,1960,9,-0.28,0.27,,-0.15,-0.41,-0.49,-0.3,-0.8,-0.28,-0.316,-0.13,0.21,-1.0,-0.0,,,Neutral,-0.38,0.05,Neutral,Neutral,True,False,True,train
1960-10,1960,10,-0.49,0.2,,-0.28,-0.15,-0.41,-0.33,-0.48,-0.3067,-0.364,-0.21,-0.08,-0.866,0.5,,,Neutral,-0.31,0.04,Neutral,Neutral,True,False,True,train
1960-11,1960,11,-0.45,0.12,,-0.49,-0.28,-0.15,-0.25,-0.66,-0.4067,-0.356,0.04,-0.3,-0.5,0.866,,,Neutral,-0.19,0.03,Neutral,Neutral,True,False,True,train
